activityId,actors,category,subcategory,city
1,actors,categoryname,subcategoryname,cityname
2,,舞蹈芭蕾,舞蹈,成都
3,艺人：Krist,演唱会,其他演唱会,重庆
4,,话剧歌剧,音乐剧,杭州
5,,展览休闲,特色体验,成都
6,,展览休闲,特色体验,成都
7,,话剧歌剧,话剧,济南
8,艺人：洪辰,演唱会,其他演唱会,广州
9,,音乐会,其他音乐会,天津
10,,音乐会,其他音乐会,杭州
11,,展览休闲,展会,长沙
12,艺人：任贤齐,演唱会,其他演唱会,沈阳
13,艺人：小林未郁,演唱会,其他演唱会,南京
14,艺人：梁心颐,演唱会,其他演唱会,杭州
15,艺人：庄心妍,演唱会,流行,惠州
16,,曲苑杂坛,戏曲,上海
17,,展览休闲,特色体验,哈尔滨
18,艺人：侧田,演唱会,流行,江门
19,,话剧歌剧,音乐剧,杭州
20,,话剧歌剧,话剧,济南
21,艺人：陈楚生,演唱会,其他演唱会,杭州
22,艺人：张韶涵,演唱会,其他演唱会,江门
23,艺人：郭麒麟,话剧歌剧,话剧,杭州
24,,体育,球类运动,天津
25,,曲苑杂坛,魔术,长沙
26,,展览休闲,特色体验,成都
27,艺人：雾虹,演唱会,其他演唱会,杭州
28,,话剧歌剧,话剧,青岛
29,,曲苑杂坛,其他曲苑杂坛,大连
30,,舞蹈芭蕾,舞蹈,宁波
31,,儿童亲子,其他儿童亲子,昆明
32,艺人：刘德华,演唱会,其他演唱会,上海
33,艺人：徐均朔,音乐会,其他音乐会,上海
34,艺人：Greg Laswell,演唱会,其他演唱会,深圳
35,艺人：廖一梅、孟京辉,话剧歌剧,话剧,杭州
36,艺人：曹轩宾,演唱会,其他演唱会,深圳
37,,展览休闲,展会,杭州
38,,展览休闲,展会,深圳
39,,话剧歌剧,话剧,上海
40,,话剧歌剧,话剧,上海
41,,音乐会,其他音乐会,济南
42,艺人：赤世代,演唱会,其他演唱会,西安
43,,音乐会,其他音乐会,上海
44,,儿童亲子,其他儿童亲子,石家庄
45,,展览休闲,展会,上海
46,,舞蹈芭蕾,舞蹈,杭州
47,,话剧歌剧,话剧,兴安盟
48,,展览休闲,特色体验,成都
49,,音乐会,室内乐及古乐,上海
50,,儿童亲子,其他儿童亲子,宜昌
51,,儿童亲子,其他儿童亲子,佛山
52,,展览休闲,展会,成都
53,,曲苑杂坛,戏曲,昆明
54,,展览休闲,展会,上海
55,艺人：新裤子、痛仰乐队,演唱会,其他演唱会,深圳
56,,儿童亲子,其他儿童亲子,柳州
57,,展览休闲,展会,上海
58,,展览休闲,特色体验,沈阳
59,,儿童亲子,其他儿童亲子,北京
60,,展览休闲,展会,合肥
61,,音乐会,室内乐及古乐,杭州
62,,话剧歌剧,话剧,上海
63,,演唱会,其他演唱会,武汉
64,,音乐会,其他音乐会,成都
65,艺人：梁静茹,演唱会,流行,广州
66,,体育,球类运动,青岛
67,演员: 宋晓峰、刘小光,曲苑杂坛,其他曲苑杂坛,北京
68,,音乐会,管弦乐,西安
69,,舞蹈芭蕾,舞蹈,广州
70,,展览休闲,展会,成都
71,,体育,田径,国际及港澳台
72,,体育,球类运动,廊坊
73,艺人：蔡依林,演唱会,流行,宁波
74,艺人：青曲社,曲苑杂坛,相声,西安
75,,展览休闲,特色体验,成都
76,,话剧歌剧,音乐剧,上海
77,,展览休闲,展会,成都
78,艺人：洪辰,演唱会,其他演唱会,上海
79,,儿童亲子,其他儿童亲子,重庆
80,,儿童亲子,其他儿童亲子,成都
81,艺人：刘德华,演唱会,其他演唱会,广州
82,,话剧歌剧,话剧,苏州
83,,展览休闲,特色体验,南京
84,艺人：安德鲁·斯科特,话剧歌剧,音乐剧,广州
85,艺人：李宗盛,演唱会,其他演唱会,株洲
86,,音乐会,其他音乐会,北京
87,艺人：张国立、王刚、张铁林,话剧歌剧,话剧,北京
88,,话剧歌剧,音乐剧,广州
89,,体育,其他体育,上海
90,,话剧歌剧,话剧,广州
91,,儿童亲子,其他儿童亲子,石家庄
92,,话剧歌剧,音乐剧,深圳
93,,儿童亲子,其他儿童亲子,金华
94,,曲苑杂坛,戏曲,上海
95,,展览休闲,展会,深圳
96,,展览休闲,特色体验,成都
97,,展览休闲,展会,上海
98,,音乐会,室内乐及古乐,苏州
99,,儿童亲子,其他儿童亲子,宜昌
100,,话剧歌剧,话剧,北京
101,,展览休闲,特色体验,成都
102,艺人：李宗盛,演唱会,其他演唱会,黄石
103,,话剧歌剧,话剧,成都
104,,儿童亲子,其他儿童亲子,杭州
105,艺人：Stormzy,演唱会,其他演唱会,上海
106,艺人：余笛,话剧歌剧,音乐剧,杭州
107,,音乐会,其他音乐会,西安
108,艺人：曹轩宾,演唱会,其他演唱会,西安
109,艺人：韩红,演唱会,其他演唱会,武汉
110,,舞蹈芭蕾,舞蹈,杭州
111,,儿童亲子,其他儿童亲子,福州
112,,展览休闲,展会,上海
113,,话剧歌剧,话剧,北京
114,,展览休闲,特色体验,成都
115,,音乐会,其他音乐会,济南
116,,儿童亲子,其他儿童亲子,泉州
117,,体育,其他体育,三亚
118,,儿童亲子,其他儿童亲子,宜昌
119,,儿童亲子,其他儿童亲子,佛山
120,,话剧歌剧,话剧,石家庄
121,,展览休闲,展会,上海
122,艺人：戴爱玲,演唱会,流行,广州
123,,体育,球类运动,北京
124,,体育,篮球,上海
125,,话剧歌剧,话剧,昆明
126,,音乐会,其他音乐会,深圳
127,艺人：周杰伦,展览休闲,特色体验,上海
128,,曲苑杂坛,相声,青岛
129,,音乐会,其他音乐会,广州
130,,话剧歌剧,音乐剧,广州
131,,展览休闲,特色体验,南京
132,,话剧歌剧,音乐剧,北京
133,,展览休闲,特色体验,西安
134,,话剧歌剧,话剧,北京
135,,音乐会,其他音乐会,呼和浩特
136,,话剧歌剧,音乐剧,深圳
137,,展览休闲,特色体验,上海
138,,音乐会,其他音乐会,哈尔滨
139,,话剧歌剧,话剧,昆明
140,,儿童亲子,其他儿童亲子,深圳
141,艺人：周子琰,演唱会,其他演唱会,杭州
142,,儿童亲子,其他儿童亲子,长春
143,,儿童亲子,其他儿童亲子,上海
144,,展览休闲,展会,北京
145,,话剧歌剧,音乐剧,北京
146,,展览休闲,展会,北京
147,,音乐会,其他音乐会,烟台
148,艺人：晨曦光廊,演唱会,其他演唱会,宁波
149,,儿童亲子,其他儿童亲子,郑州
150,,话剧歌剧,话剧,北京
151,艺人：Nightwish,演唱会,其他演唱会,北京
152,,音乐会,其他音乐会,上海
153,,音乐会,其他音乐会,成都
154,,话剧歌剧,话剧,南京
155,,音乐会,其他音乐会,上海
