activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],,0,4,舞蹈芭蕾,1377,成都,[],,1_1_611119560888,1816228312,False,0,0,0,1,演出延期 胡沈员作品—现代舞剧《流浪Nomadic》2020中国巡演成都站,演出延期 胡沈员作品—现代舞剧《流浪Nomadic》2020中国巡演成都站,180.0,180,180.0,[],611119560888,[],售票中,,2020.12.30 周三 19:30,3,24,舞蹈,,四川大剧院 大剧场,成都,1809004,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01WYyBGQ2GdSE2bKDXE_!!2251059038.png
[],艺人：Krist,0,1,演唱会,200,重庆,[],艺人：Krist,1_1_611335133470,1818384038,False,0,1,0,0,Krist&Singto Fan Meeting In Chongqing （Krist&Singto首场重庆粉丝见面会）,Krist&Singto Fan Meeting In Chongqing （Krist&Singto首场重庆粉丝见面会）,680.0,680-1880,1880.0,[],611335133470,[],售票中,,2020.02.22-12.31,3,13,其他,,施光南大剧院,重庆,59183,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN010fKzId2GdSE2VRUZI_!!2251059038.jpg
[],,0,3,话剧歌剧,1580,杭州,[],,1_1_611293557062,1817968274,False,0,0,0,1,江南民调 新版《三笑》,江南民调 新版《三笑》,180.0,180-580,580.0,[],611293557062,[],售票中,,2020.12.31 周四,3,22,音乐剧,,小百花越剧场,杭州,991005,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01ROKclz2GdSDyISGcH_!!2251059038.png
[],,0,7,展览休闲,1377,成都,[],,1_1_611276109938,1817793803,False,0,1,0,0,1Hour迷你油画创作活动,1Hour迷你油画创作活动,69.0,69-79,79.0,[],611276109938,[],售票中,,2020.07.12-09.05,3,39,特色体验,,美洲花园棕榈湾,成都,1372017,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN013xGbPM2GdSE3C2McT_!!2251059038.png
[],,0,7,展览休闲,1377,成都,[],,1_1_611741731174,1822450015,False,0,1,0,0,拼贴设计课程,拼贴设计课程,79.0,79,79.0,[],611741731174,[],售票中,,2020.08.22 周六,3,39,特色体验,,美洲花园棕榈湾,成都,1372017,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01R4wpa02GdSDzGdfeu_!!2251059038.jpg
[],,0,3,话剧歌剧,1835,济南,[],,1_1_610980008608,1814832790,False,0,1,0,1,正宗英式独角戏《一个人的莎士比亚》-济南站,正宗英式独角戏《一个人的莎士比亚》-济南站,99.0,99-299,299.0,[],610980008608,[],售票中,,2020.06.20-12.31,3,19,话剧,,济南历山剧院,济南,340,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01Nglahp2GdSE2yc6ZI_!!2251059038.jpg
[],艺人：洪辰,0,1,演唱会,893,广州,[],艺人：洪辰,1_1_610815504306,1813187747,False,0,1,0,0,2020洪辰《HER ART/HEART》新专辑巡演 广州站,2020洪辰《HER ART/HEART》新专辑巡演 广州站,120.0,120,120.0,[],610815504306,[],售票中,,2020.03.13-12.31,3,13,其他,,MAO Livehouse广州,广州,825019,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01V7njMr2GdSDwVgtcW_!!2251059038.jpg
[],,0,2,音乐会,1209,天津,[],,1_1_610754776004,1812580464,False,0,1,0,1,魅力国乐传承与跨界演绎大师经典作品 大国灵韵·国乐未央名家系列 琵琶专场,魅力国乐传承与跨界演绎大师经典作品 大国灵韵·国乐未央名家系列 琵琶专场,88.0,88-398,398.0,[],610754776004,[],售票中,,2020.07.18 周六 19:30,3,18,其他,,天津光华剧院大剧场,天津,1049003,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01JVsMZM2GdSE0IV1Zd_!!2251059038.jpg
[],,0,2,音乐会,1580,杭州,[],,1_1_611230870045,1817341404,False,0,1,0,1,宫崎骏•久石让作品视听音乐会,宫崎骏•久石让作品视听音乐会,100.0,100-280,280.0,[],611230870045,[],售票中,,2020.08.22 周六 19:30,3,18,其他,,杭州剧院,杭州,365,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01uNVQ6R2GdSEfNjoLP_!!2251059038.jpg
[],,0,7,展览休闲,702,长沙,[],,1_1_611246471613,1817497420,False,0,1,0,0,「开展营业中」花幽：荒木经惟摄影作品展,「开展营业中」花幽：荒木经惟摄影作品展,60.0,60-160,160.0,[],611246471613,[],售票中,,2020.04.25-07.26,3,38,展会,,谢子龙影像艺术馆,长沙,92691,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01bZ2SHi2GdSEcAXAPh_!!2251059038.png
